Datum,team1,team2,score1,something,score2,Dec,Period,Arena,Att,hej,hej2,hej3
2021-01-16,LeksandLIF,VäxjöVLH,1,-,2,Reg,1-1, 0-0, 0-1,Tegera Arena,8
2021-01-16,FärjestadFBK,FrölundaFHC,1,-,3,Reg,1-0, 0-2, 0-1,Löfbergs Arena,0
2021-01-16,ÖrebroÖRE,DjurgårdenDIF,4,-,6,Reg,0-2, 3-1, 1-3,Behrn Arena,0
2021-01-16,BrynäsBIF,SkellefteåSKE,4,-,5,Reg,1-2, 2-1, 1-2,Monitor ERP Arena,0
2021-01-16,LinköpingLHC,OskarshamnIKO,4,-,2,Reg,3-0, 0-1, 1-1,Saab Arena,0
2021-01-16,HV71HV71,RögleRBK,1,-,5,Reg,0-2, 1-0, 0-3,Husqvarna Garden,0
2021-01-14,LuleåLHF,BrynäsBIF,4,-,1,Reg,0-0, 1-1, 3-0,Coop Norrbotten Arena,0
2021-01-14,SkellefteåSKE,FrölundaFHC,5,-,1,Reg,2-1, 2-0, 1-0,Skellefteå Kraft Arena,0
2021-01-14,VäxjöVLH,RögleRBK,3,-,2,OT,1-0, 0-2, 1-0, 1-0,Vida Arena,8
2021-01-14,LinköpingLHC,LeksandLIF,2,-,3,Reg,0-0, 0-2, 2-1,Saab Arena,0
2021-01-14,HV71HV71,FärjestadFBK,4,-,2,Reg,0-0, 3-0, 1-2,Husqvarna Garden,0
2021-01-14,DjurgårdenDIF,ÖrebroÖRE,0,-,2,Reg,0-1, 0-0, 0-1,Hovet,0
2021-01-12,BrynäsBIF,DjurgårdenDIF,3,-,2,Reg,0-0, 3-1, 0-1,Monitor ERP Arena,0
2021-01-12,LuleåLHF,LinköpingLHC,2,-,1,Reg,0-0, 2-1, 0-0,Coop Norrbotten Arena,0
2021-01-12,RögleRBK,LeksandLIF,2,-,5,Reg,2-1, 0-2, 0-2,Catena Arena,8
2021-01-12,FärjestadFBK,OskarshamnIKO,1,-,3,Reg,1-0, 0-2, 0-1,Löfbergs Arena,0
2021-01-09,SkellefteåSKE,VäxjöVLH,4,-,3,OT,1-2, 1-0, 1-1, 1-0,Skellefteå Kraft Arena,0
2021-01-09,ÖrebroÖRE,HV71HV71,5,-,2,Reg,0-2, 2-0, 3-0,Behrn Arena,0
2021-01-09,RögleRBK,LinköpingLHC,3,-,1,Reg,0-1, 0-0, 3-0,Catena Arena,8
2021-01-09,LuleåLHF,OskarshamnIKO,7,-,3,Reg,3-1, 2-0, 2-2,Coop Norrbotten Arena,0
2021-01-09,BrynäsBIF,DjurgårdenDIF,6,-,1,Reg,3-0, 2-1, 1-0,Monitor ERP Arena,0
2021-01-09,MalmöMIF,LeksandLIF,0,-,1,Reg,0-0, 0-0, 0-1,Malmö Arena,0
2021-01-09,FrölundaFHC,FärjestadFBK,3,-,0,Reg,2-0, 1-0, 0-0,Scandinavium,0
2021-01-07,LeksandLIF,HV71HV71,3,-,4,SO,1-1, 1-2, 1-0, 0-0, 0-1,Tegera Arena,8
2021-01-07,DjurgårdenDIF,OskarshamnIKO,3,-,4,Reg,0-2, 1-1, 2-1,Hovet,0
2021-01-07,VäxjöVLH,SkellefteåSKE,2,-,0,Reg,0-0, 2-0, 0-0,Vida Arena,8
2021-01-07,FärjestadFBK,RögleRBK,5,-,4,OT,0-1, 1-1, 3-2, 1-0,Löfbergs Arena,0
2021-01-07,LinköpingLHC,BrynäsBIF,2,-,4,Reg,2-1, 0-2, 0-1,Saab Arena,0
2021-01-07,MalmöMIF,ÖrebroÖRE,4,-,1,Reg,0-1, 0-0, 4-0,Malmö Arena,0
2021-01-07,FrölundaFHC,LuleåLHF,0,-,3,Reg,0-2, 0-0, 0-1,Scandinavium,0
